exif_make	exif_model	exif_lens_make	exif_lens_model	exif_lens_id	camera_slug	lens_slug
Apple	iPhone SE	Apple	iPhone SE back camera 4.15mm f/2.2	iPhone SE back camera 4.15mm f/2.2	apple-iphone-se	apple-iphone-se-4-15mm-f-2-2
					zz	zz
Canon	Canon EOS 10D			65535	canon-eos-10d	zz
HUAWEI	ELE-L29				huawei-p30	zz
Canon	Canon EOS 5D		EF24-105mm f/4L IS USM	237	canon-eos-5d	ef24-105mm-f-4l-is-usm
Apple	iPhone 15 Pro	Apple	iPhone 15 Pro back triple camera 6.765mm f/1.78	iPhone 15 Pro back triple camera 6.765mm f/1.78	apple-iphone-15-pro	apple-iphone-15-pro-6-765mm-f-1-78
Canon	Canon EOS 6D		EF24-105mm f/4L IS USM	237	canon-eos-6d	ef24-105mm-f-4l-is-usm
Apple	iPhone 6	Apple	iPhone 6 back camera 4.15mm f/2.2	iPhone 6 back camera 4.15mm f/2.2	apple-iphone-6	apple-iphone-6-4-15mm-f-2-2
Apple	iPhone 12 mini	Apple	iPhone 12 mini back dual wide camera 4.2mm f/1.6	iPhone 12 mini back dual wide camera 4.2mm f/1.6	apple-iphone-12-mini	apple-iphone-12-mini-4-2mm-f-1-6
Canon	Canon EOS 7D		EF24-105mm f/4L IS USM	237	canon-eos-7d	ef24-105mm-f-4l-is-usm
Apple	iPhone 4S				apple-iphone-4s	zz
Canon	Canon PowerShot A3000 IS			65535	canon-powershot-a3000-is	zz
OLYMPUS OPTICAL CO.,LTD	C2500L				olympus-c2500l	zz
Canon	Canon EOS 7D		EF100mm f/2.8L Macro IS USM	254	canon-eos-7d	ef100mm-f-2-8l-macro-is-usm
Canon	Canon EOS 6D		EF35mm f/2 IS USM	505	canon-eos-6d	ef35mm-f-2-is-usm
Canon	Canon EOS 6D		EF40mm f/2.8 STM	4144	canon-eos-6d	ef40mm-f-2-8-stm
Apple	iPhone 5s	Apple	iPhone 5s back camera 4.15mm f/2.2	iPhone 5s back camera 4.15mm f/2.2	apple-iphone-5s	apple-iphone-5s-4-15mm-f-2-2
Canon	Canon DIGITAL IXUS 70			65535	canon-digital-ixus-70	zz
Apple	iPhone 5s	Apple	iPhone 5s back camera 4.12mm f/2.2	iPhone 5s back camera 4.12mm f/2.2	apple-iphone-5s	apple-iphone-5s-4-12mm-f-2-2
Canon	Canon EOS 5D		EF16-35mm f/2.8L II USM	246	canon-eos-5d	ef16-35mm-f-2-8l-ii-usm
